date,movies,songs
20060101,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060102,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060103,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060104,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060105,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060106,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060107,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060108,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060109,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
20060110,"[""Zinda, https://en.wikipedia.org/wiki/Zinda_(film)"", ""Family, https://en.wikipedia.org/wiki/Family_(2006_film)""]","[""Ye hai meri Kahani, https://www.youtube.com/watch?v=qhHL-EOIqqQ"", ""Zinda Hoon Main, https://www.youtube.com/watch?v=Y1K2qCsuYbY"", ""Qatra Qatra, https://www.youtube.com/watch?v=673AhfDrP7I"", ""Pyyar Bina, https://www.youtube.com/watch?v=D21_hppNqqg"", ""Jeene Do, https://youtu.be/vGqHBhBdCeA""]"
